# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-01-11 14:14:53 EST       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07344400 Red River near Hosston, LA.
# -----------------------------------------------------------------------------------
#
# Data provided for site 07344400
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd
USGS	07344400	1958-05-07	211000	A
USGS	07344400	1958-05-08	209000	A
USGS	07344400	1958-05-09	192000	A
USGS	07344400	1958-05-10	168000	A
USGS	07344400	1958-05-11	144000	A
USGS	07344400	1958-05-12	126000	A
USGS	07344400	1958-05-13	116000	A
USGS	07344400	1958-05-14	110000	A
USGS	07344400	1958-05-15	105000	A
USGS	07344400	1958-05-16	90600	A
USGS	07344400	1958-05-17	78000	A
USGS	07344400	1958-05-18	65000	A
USGS	07344400	1958-05-19	52600	A
USGS	07344400	1958-05-20	43800	A
USGS	07344400	1958-05-21	39000	A
USGS	07344400	1958-05-22	36800	A
USGS	07344400	1958-05-23	36000	A
USGS	07344400	1958-05-24	34500	A
USGS	07344400	1958-05-25	33000	A
USGS	07344400	1958-05-26	31500	A
USGS	07344400	1958-05-27	29400	A
USGS	07344400	1958-05-28	29400	A
USGS	07344400	1958-05-29	30800	A
USGS	07344400	1958-05-30	28700	A
USGS	07344400	1958-05-31	25900	A
USGS	07344400	1958-06-01	25200	A
USGS	07344400	1958-06-02	25200	A
USGS	07344400	1958-06-03	23300	A
USGS	07344400	1958-06-04	22100	A
USGS	07344400	1958-06-05	19700	A
USGS	07344400	1958-06-06	19700	A
USGS	07344400	1958-06-07	19100	A
USGS	07344400	1958-06-08	18500	A
USGS	07344400	1958-06-09	18000	A
USGS	07344400	1958-06-10	18000	A
USGS	07344400	1958-06-11	17500	A
USGS	07344400	1958-06-12	17000	A
USGS	07344400	1958-06-13	16500	A
USGS	07344400	1958-06-14	16500	A
USGS	07344400	1958-06-15	16000	A
USGS	07344400	1958-06-16	15500	A
USGS	07344400	1958-06-17	15000	A
USGS	07344400	1958-06-18	15000	A
USGS	07344400	1958-06-19	17000	A
USGS	07344400	1958-06-20	19000	A
USGS	07344400	1958-06-21	19000	A
USGS	07344400	1958-06-22	19000	A
USGS	07344400	1958-06-23	19000	A
USGS	07344400	1958-06-24	20000	A
USGS	07344400	1958-06-25	20000	A
USGS	07344400	1958-06-26	20000	A
USGS	07344400	1958-06-27	22000	A
USGS	07344400	1958-06-28	23000	A
USGS	07344400	1958-06-29	25000	A
USGS	07344400	1958-06-30	27300	A
USGS	07344400	1958-07-01	26600	A
USGS	07344400	1958-07-02	24500	A
USGS	07344400	1958-07-03	22700	A
USGS	07344400	1958-07-04	20300	A
USGS	07344400	1958-07-05	18500	A
USGS	07344400	1958-07-06	16000	A
USGS	07344400	1958-07-07	15500	A
USGS	07344400	1958-07-08	15500	A
USGS	07344400	1958-07-09	17000	A
USGS	07344400	1958-07-10	19100	A
USGS	07344400	1958-07-11	19100	A
USGS	07344400	1958-07-12	19100	A
USGS	07344400	1958-07-13	19100	A
USGS	07344400	1958-07-14	17500	A
USGS	07344400	1958-07-15	17000	A
USGS	07344400	1958-07-16	17500	A
USGS	07344400	1958-07-17	17000	A
USGS	07344400	1958-07-18	16000	A
USGS	07344400	1958-07-19	15500	A
USGS	07344400	1958-07-20	14500	A
USGS	07344400	1958-07-21	14000	A
USGS	07344400	1958-07-22	15500	A
USGS	07344400	1958-07-23	16500	A
USGS	07344400	1958-07-24	19700	A
USGS	07344400	1958-07-25	25900	A
USGS	07344400	1958-07-26	23900	A
USGS	07344400	1958-07-27	20900	A
USGS	07344400	1958-07-28	18500	A
USGS	07344400	1958-07-29	17000	A
USGS	07344400	1958-07-30	16000	A
USGS	07344400	1958-07-31	15000	A
USGS	07344400	1958-08-01	15000	A
USGS	07344400	1958-08-02	14000	A
USGS	07344400	1958-08-03	14000	A
USGS	07344400	1958-08-04	13000	A
USGS	07344400	1958-08-05	13000	A
USGS	07344400	1958-08-06	14000	A
USGS	07344400	1958-08-07	14000	A
USGS	07344400	1958-08-08	14000	A
USGS	07344400	1958-08-09	14000	A
USGS	07344400	1958-08-10	14000	A
USGS	07344400	1958-08-11	14000	A
USGS	07344400	1958-08-12	14000	A
USGS	07344400	1958-08-13	14000	A
USGS	07344400	1958-08-14	14000	A
USGS	07344400	1958-08-15	14000	A
USGS	07344400	1958-08-16	14000	A
USGS	07344400	1958-08-17	12000	A
USGS	07344400	1958-08-18	11000	A
USGS	07344400	1958-08-19	10000	A
USGS	07344400	1958-08-20	9500	A
USGS	07344400	1958-08-21	9000	A
USGS	07344400	1958-08-22	9000	A
USGS	07344400	1958-08-23	9000	A
USGS	07344400	1958-08-24	10000	A
USGS	07344400	1958-08-25	11000	A
USGS	07344400	1958-08-26	12000	A
USGS	07344400	1958-08-27	12000	A
USGS	07344400	1958-08-28	11000	A
USGS	07344400	1958-08-29	11000	A
USGS	07344400	1958-08-30	11000	A
USGS	07344400	1958-08-31	11000	A
USGS	07344400	1958-09-01	11000	A
USGS	07344400	1958-09-02	11000	A
USGS	07344400	1958-09-03	11000	A
USGS	07344400	1958-09-04	10000	A
USGS	07344400	1958-09-05	9000	A
USGS	07344400	1958-09-06	9000	A
USGS	07344400	1958-09-07	8000	A
USGS	07344400	1958-09-08	7000	A
USGS	07344400	1958-09-09	6000	A
USGS	07344400	1958-09-10	6000	A
USGS	07344400	1958-09-11	6000	A
USGS	07344400	1958-09-12	5600	A
USGS	07344400	1958-09-13	5400	A
USGS	07344400	1958-09-14	5000	A
USGS	07344400	1958-09-15	4500	A
USGS	07344400	1958-09-16	4000	A
USGS	07344400	1958-09-17	4500	A
USGS	07344400	1958-09-18	5000	A
USGS	07344400	1958-09-19	6000	A
USGS	07344400	1958-09-20	7000	A
USGS	07344400	1958-09-21	10000	A
USGS	07344400	1958-09-22	13000	A
USGS	07344400	1958-09-23	16000	A
USGS	07344400	1958-09-24	20300	A
USGS	07344400	1958-09-25	17000	A
USGS	07344400	1958-09-26	12300	A
USGS	07344400	1958-09-27	9450	A
USGS	07344400	1958-09-28	7350	A
USGS	07344400	1958-09-29	6300	A
USGS	07344400	1958-09-30	5900	A
USGS	07344400	1958-10-01	5100	A
USGS	07344400	1958-10-02	4950	A
USGS	07344400	1958-10-03	5250	A
USGS	07344400	1958-10-04	5550	A
USGS	07344400	1958-10-05	5550	A
USGS	07344400	1958-10-06	4950	A
USGS	07344400	1958-10-07	4390	A
USGS	07344400	1958-10-08	3700	A
USGS	07344400	1958-10-09	3500	A
USGS	07344400	1958-10-10	3600	A
USGS	07344400	1958-10-11	3860	A
USGS	07344400	1958-10-12	3990	A
USGS	07344400	1958-10-13	4250	A
USGS	07344400	1958-10-14	4390	A
USGS	07344400	1958-10-15	4950	A
USGS	07344400	1958-10-16	5250	A
USGS	07344400	1958-10-17	4810	A
USGS	07344400	1958-10-18	4120	A
USGS	07344400	1958-10-19	3860	A
USGS	07344400	1958-10-20	3500	A
USGS	07344400	1958-10-21	3200	A
USGS	07344400	1958-10-22	3500	A
USGS	07344400	1958-10-23	3800	A
USGS	07344400	1958-10-24	4250	A
USGS	07344400	1958-10-25	7860	A
USGS	07344400	1958-10-26	11500	A
USGS	07344400	1958-10-27	10400	A
USGS	07344400	1958-10-28	8850	A
USGS	07344400	1958-10-29	7950	A
USGS	07344400	1958-10-30	6800	A
USGS	07344400	1958-10-31	5700	A
USGS	07344400	1958-11-01	5100	A
USGS	07344400	1958-11-02	4530	A
USGS	07344400	1958-11-03	4120	A
USGS	07344400	1958-11-04	3860	A
USGS	07344400	1958-11-05	3860	A
USGS	07344400	1958-11-06	4120	A
USGS	07344400	1958-11-07	4120	A
USGS	07344400	1958-11-08	3990	A
USGS	07344400	1958-11-09	3700	A
USGS	07344400	1958-11-10	3400	A
USGS	07344400	1958-11-11	3200	A
USGS	07344400	1958-11-12	3500	A
USGS	07344400	1958-11-13	4120	A
USGS	07344400	1958-11-14	4250	A
USGS	07344400	1958-11-15	4390	A
USGS	07344400	1958-11-16	4670	A
USGS	07344400	1958-11-17	7380	A
USGS	07344400	1958-11-18	14800	A
USGS	07344400	1958-11-19	20900	A
USGS	07344400	1958-11-20	25200	A
USGS	07344400	1958-11-21	27300	A
USGS	07344400	1958-11-22	29400	A
USGS	07344400	1958-11-23	30800	A
USGS	07344400	1958-11-24	30800	A
USGS	07344400	1958-11-25	28000	A
USGS	07344400	1958-11-26	22100	A
USGS	07344400	1958-11-27	16000	A
USGS	07344400	1958-11-28	12300	A
USGS	07344400	1958-11-29	10100	A
USGS	07344400	1958-11-30	9400	A
USGS	07344400	1958-12-01	10100	A
USGS	07344400	1958-12-02	10800	A
USGS	07344400	1958-12-03	9750	A
USGS	07344400	1958-12-04	9150	A
USGS	07344400	1958-12-05	8550	A
USGS	07344400	1958-12-06	8550	A
USGS	07344400	1958-12-07	8000	A
USGS	07344400	1958-12-08	7650	A
USGS	07344400	1958-12-09	7050	A
USGS	07344400	1958-12-10	6550	A
USGS	07344400	1958-12-11	6300	A
USGS	07344400	1958-12-12	6300	A
USGS	07344400	1958-12-13	5400	A
USGS	07344400	1958-12-14	5400	A
USGS	07344400	1958-12-15	5550	A
USGS	07344400	1958-12-16	4950	A
USGS	07344400	1958-12-17	4950	A
USGS	07344400	1958-12-18	5100	A
USGS	07344400	1958-12-19	5250	A
USGS	07344400	1958-12-20	5250	A
USGS	07344400	1958-12-21	5100	A
USGS	07344400	1958-12-22	4950	A
USGS	07344400	1958-12-23	4810	A
USGS	07344400	1958-12-24	4530	A
USGS	07344400	1958-12-25	4400	A
USGS	07344400	1958-12-26	4390	A
USGS	07344400	1958-12-27	4390	A
USGS	07344400	1958-12-28	4200	A
USGS	07344400	1958-12-29	4120	A
USGS	07344400	1958-12-30	3990	A
USGS	07344400	1958-12-31	3860	A
USGS	07344400	1959-01-01	3730	A
USGS	07344400	1959-01-02	3730	A
USGS	07344400	1959-01-03	3600	A
USGS	07344400	1959-01-04	3700	A
USGS	07344400	1959-01-05	4150	A
USGS	07344400	1959-01-06	4310	A
USGS	07344400	1959-01-07	5240	A
USGS	07344400	1959-01-08	5240	A
USGS	07344400	1959-01-09	4480	A
USGS	07344400	1959-01-10	4310	A
USGS	07344400	1959-01-11	4500	A
USGS	07344400	1959-01-12	5450	A
USGS	07344400	1959-01-13	6830	A
USGS	07344400	1959-01-14	7300	A
USGS	07344400	1959-01-15	6830	A
USGS	07344400	1959-01-16	7580	A
USGS	07344400	1959-01-17	7330	A
USGS	07344400	1959-01-18	8340	A
USGS	07344400	1959-01-19	8600	A
USGS	07344400	1959-01-20	9130	A
USGS	07344400	1959-01-21	10300	A
USGS	07344400	1959-01-22	11900	A
USGS	07344400	1959-01-23	12600	A
USGS	07344400	1959-01-24	12600	A
USGS	07344400	1959-01-25	11900	A
USGS	07344400	1959-01-26	10900	A
USGS	07344400	1959-01-27	10300	A
USGS	07344400	1959-01-28	10600	A
USGS	07344400	1959-01-29	11600	A
USGS	07344400	1959-01-30	11600	A
USGS	07344400	1959-01-31	10600	A
USGS	07344400	1959-02-01	8860	A
USGS	07344400	1959-02-02	7330	A
USGS	07344400	1959-02-03	7000	A
USGS	07344400	1959-02-04	6350	A
USGS	07344400	1959-02-05	6120	A
USGS	07344400	1959-02-06	6120	A
USGS	07344400	1959-02-07	5890	A
USGS	07344400	1959-02-08	5890	A
USGS	07344400	1959-02-09	5890	A
USGS	07344400	1959-02-10	5450	A
USGS	07344400	1959-02-11	5450	A
USGS	07344400	1959-02-12	6120	A
USGS	07344400	1959-02-13	7580	A
USGS	07344400	1959-02-14	10300	A
USGS	07344400	1959-02-15	15100	A
USGS	07344400	1959-02-16	27300	A
USGS	07344400	1959-02-17	42200	A
USGS	07344400	1959-02-18	46200	A
USGS	07344400	1959-02-19	45400	A
USGS	07344400	1959-02-20	43000	A
USGS	07344400	1959-02-21	37500	A
USGS	07344400	1959-02-22	31500	A
USGS	07344400	1959-02-23	23900	A
USGS	07344400	1959-02-24	18000	A
USGS	07344400	1959-02-25	15600	A
USGS	07344400	1959-02-26	15600	A
USGS	07344400	1959-02-27	16000	A
USGS	07344400	1959-02-28	15600	A
USGS	07344400	1959-03-01	15600	A
USGS	07344400	1959-03-02	15100	A
USGS	07344400	1959-03-03	14200	A
USGS	07344400	1959-03-04	14200	A
USGS	07344400	1959-03-05	13800	A
USGS	07344400	1959-03-06	14200	A
USGS	07344400	1959-03-07	20900	A
USGS	07344400	1959-03-08	30100	A
USGS	07344400	1959-03-09	37500	A
USGS	07344400	1959-03-10	44600	A
USGS	07344400	1959-03-11	43800	A
USGS	07344400	1959-03-12	37500	A
USGS	07344400	1959-03-13	30800	A
USGS	07344400	1959-03-14	25200	A
USGS	07344400	1959-03-15	18500	A
USGS	07344400	1959-03-16	15600	A
USGS	07344400	1959-03-17	14200	A
USGS	07344400	1959-03-18	13400	A
USGS	07344400	1959-03-19	12600	A
USGS	07344400	1959-03-20	12600	A
USGS	07344400	1959-03-21	12200	A
USGS	07344400	1959-03-22	11900	A
USGS	07344400	1959-03-23	12200	A
USGS	07344400	1959-03-24	15600	A
USGS	07344400	1959-03-25	19100	A
USGS	07344400	1959-03-26	20300	A
USGS	07344400	1959-03-27	18500	A
USGS	07344400	1959-03-28	16500	A
USGS	07344400	1959-03-29	18000	A
USGS	07344400	1959-03-30	21500	A
USGS	07344400	1959-03-31	22700	A
USGS	07344400	1959-04-01	20900	A
USGS	07344400	1959-04-02	18000	A
USGS	07344400	1959-04-03	15600	A
USGS	07344400	1959-04-04	15600	A
USGS	07344400	1959-04-05	16500	A
USGS	07344400	1959-04-06	23300	A
USGS	07344400	1959-04-07	28000	A
USGS	07344400	1959-04-08	25200	A
USGS	07344400	1959-04-09	22100	A
USGS	07344400	1959-04-10	18000	A
USGS	07344400	1959-04-11	15600	A
USGS	07344400	1959-04-12	15100	A
USGS	07344400	1959-04-13	14600	A
USGS	07344400	1959-04-14	15100	A
USGS	07344400	1959-04-15	14600	A
USGS	07344400	1959-04-16	13400	A
USGS	07344400	1959-04-17	12200	A
USGS	07344400	1959-04-18	10900	A
USGS	07344400	1959-04-19	11200	A
USGS	07344400	1959-04-20	17500	A
USGS	07344400	1959-04-21	23300	A
USGS	07344400	1959-04-22	24500	A
USGS	07344400	1959-04-23	27300	A
USGS	07344400	1959-04-24	27300	A
USGS	07344400	1959-04-25	23300	A
USGS	07344400	1959-04-26	19700	A
USGS	07344400	1959-04-27	17500	A
USGS	07344400	1959-04-28	15100	A
USGS	07344400	1959-04-29	13400	A
USGS	07344400	1959-04-30	12200	A
USGS	07344400	1959-05-01	10900	A
USGS	07344400	1959-05-02	9680	A
USGS	07344400	1959-05-03	8340	A
USGS	07344400	1959-05-04	7830	A
USGS	07344400	1959-05-05	6120	A
USGS	07344400	1959-05-06	5670	A
USGS	07344400	1959-05-07	5450	A
USGS	07344400	1959-05-08	5040	A
USGS	07344400	1959-05-09	4850	A
USGS	07344400	1959-05-10	4500	A
USGS	07344400	1959-05-11	4150	A
USGS	07344400	1959-05-12	3860	A
USGS	07344400	1959-05-13	4000	A
USGS	07344400	1959-05-14	4150	A
USGS	07344400	1959-05-15	5670	A
USGS	07344400	1959-05-16	10300	A
USGS	07344400	1959-05-17	12000	A
USGS	07344400	1959-05-18	14600	A
USGS	07344400	1959-05-19	12200	A
USGS	07344400	1959-05-20	11900	A
USGS	07344400	1959-05-21	11200	A
USGS	07344400	1959-05-22	8860	A
USGS	07344400	1959-05-23	7580	A
USGS	07344400	1959-05-24	8300	A
USGS	07344400	1959-05-25	9130	A
USGS	07344400	1959-05-26	10000	A
USGS	07344400	1959-05-27	10900	A
USGS	07344400	1959-05-28	18500	A
USGS	07344400	1959-05-29	21500	A
USGS	07344400	1959-05-30	19700	A
USGS	07344400	1959-05-31	14000	A
USGS	07344400	1959-06-01	11600	A
USGS	07344400	1959-06-02	7580	A
USGS	07344400	1959-06-03	7330	A
USGS	07344400	1959-06-04	6830	A
USGS	07344400	1959-06-05	7580	A
USGS	07344400	1959-06-06	7830	A
USGS	07344400	1959-06-07	8900	A
USGS	07344400	1959-06-08	9400	A
USGS	07344400	1959-06-09	8340	A
USGS	07344400	1959-06-10	7830	A
USGS	07344400	1959-06-11	7080	A
USGS	07344400	1959-06-12	7080	A
USGS	07344400	1959-06-13	7330	A
USGS	07344400	1959-06-14	8860	A
USGS	07344400	1959-06-15	8900	A
USGS	07344400	1959-06-16	8860	A
USGS	07344400	1959-06-17	8080	A
USGS	07344400	1959-06-18	9400	A
USGS	07344400	1959-06-19	9400	A
USGS	07344400	1959-06-20	7580	A
USGS	07344400	1959-06-21	6120	A
USGS	07344400	1959-06-22	5040	A
USGS	07344400	1959-06-23	4850	A
USGS	07344400	1959-06-24	5040	A
USGS	07344400	1959-06-25	5450	A
USGS	07344400	1959-06-26	7580	A
USGS	07344400	1959-06-27	10600	A
USGS	07344400	1959-06-28	10600	A
USGS	07344400	1959-06-29	9680	A
USGS	07344400	1959-06-30	8600	A
USGS	07344400	1959-07-01	7830	A
USGS	07344400	1959-07-02	7330	A
USGS	07344400	1959-07-03	7580	A
USGS	07344400	1959-07-04	7830	A
USGS	07344400	1959-07-05	9130	A
USGS	07344400	1959-07-06	10600	A
USGS	07344400	1959-07-07	13000	A
USGS	07344400	1959-07-08	13000	A
USGS	07344400	1959-07-09	11200	A
USGS	07344400	1959-07-10	9960	A
USGS	07344400	1959-07-11	9400	A
USGS	07344400	1959-07-12	7830	A
USGS	07344400	1959-07-13	6590	A
